Item,Location,Series ID
Food and non-alcoholic beverages,Sydney,A2325851W
Bread and cereal products,Sydney,A2326166T
Bread,Sydney,A2327021W
Cakes and biscuits,Sydney,A2327066A
Breakfast cereals,Sydney,A2327111A
Other cereal products,Sydney,A2327156F
Meat and seafoods,Sydney,A2326211T
Beef and veal,Sydney,A2327201F
Pork,Sydney,A3603903T
Lamb and goat,Sydney,A2327246K
Poultry,Sydney,A2327336R
Other meats,Sydney,A2327426V
Fish and other seafood,Sydney,A2327471F
Dairy and related products,Sydney,A2326121L
Milk,Sydney,A2326886R
Cheese,Sydney,A2326931R
Ice cream and other dairy products,Sydney,A2326976V
Fruit and vegetables,Sydney,A2330846X
Fruit,Sydney,A2330891K
Vegetables,Sydney,A2330936C
Food products n.e.c.,Sydney,A3603943K
Eggs,Sydney,A2327606C
"Jams, honey and spreads",Sydney,A2327651R
Food additives and condiments,Sydney,A2329451J
Oils and fats,Sydney,A2329496L
Snacks and confectionery,Sydney,A2331701C
Other food products n.e.c.,Sydney,A2327741V
Non-alcoholic beverages,Sydney,A3603983C
"Coffee, tea and cocoa",Sydney,A2327696V
"Waters, soft drinks and juices",Sydney,A2331746J
Meals out and take away foods,Sydney,A2326256W
Restaurant meals,Sydney,A2327516X
Take away and fast foods,Sydney,A2327561K
Alcohol and tobacco,Sydney,A2326076L
Alcoholic beverages,Sydney,A2326706V
Spirits,Sydney,A2328911T
Wine,Sydney,A2328866T
Beer,Sydney,A2328821L
Tobacco,Sydney,A2326751F
Tobacco,Sydney,A2328956W
Clothing and footwear,Sydney,A2325896A
Garments,Sydney,A3604023L
Garments for men,Sydney,A2329541L
Garments for women,Sydney,A2329676W
Garments for infants and children,Sydney,A2329721W
Footwear,Sydney,A2326346A
Footwear for men,Sydney,A2327876C
Footwear for women,Sydney,A2327921C
Footwear for infants and children,Sydney,A2327966J
Accessories and clothing services,Sydney,A2329766A
Accessories,Sydney,A2329811A
"Cleaning, repair and hire of clothing and footwear",Sydney,A2328011K
Housing,Sydney,A2325941A
Rents,Sydney,A2331836L
Rents,Sydney,A2326391L
New dwelling purchase by owner-occupiers,Sydney,A3604223F
New dwelling purchase by owner-occupiers,Sydney,A2329901F
Other housing,Sydney,A3603573L
Maintenance and repair of the dwelling,Sydney,A2328056R
Property rates and charges,Sydney,A2329946K
Utilities,Sydney,A2326481T
Water and sewerage,Sydney,A2329856F
Electricity,Sydney,A2328101R
Gas and other household fuels,Sydney,A2331881X
"Furnishings, household equipment and services",Sydney,A2325986F
Furniture and furnishings,Sydney,A3604143F
Furniture,Sydney,A2328146V
Carpets and other floor coverings,Sydney,A3604183X
Household textiles,Sydney,A3604063F
Household textiles,Sydney,A3604103L
"Household appliances, utensils and tools",Sydney,A2329991W
Major household appliances,Sydney,A2328236X
Small electric household appliances,Sydney,A2330981R
"Glassware, tableware and household utensils",Sydney,A2331026K
Tools and equipment for house and garden,Sydney,A2328281K
Non-durable household products,Sydney,A2330036W
Cleaning and maintenance products,Sydney,A2328326C
