Date,Series ID,CPI Value,Item,Location
2011-06-01,A2325851W,102.5,Food and non-alcoholic beverages,Sydney
2011-09-01,A2325851W,102.3,Food and non-alcoholic beverages,Sydney
2011-12-01,A2325851W,100.6,Food and non-alcoholic beverages,Sydney
2012-03-01,A2325851W,98.3,Food and non-alcoholic beverages,Sydney
2012-06-01,A2325851W,98.8,Food and non-alcoholic beverages,Sydney
2012-09-01,A2325851W,101.5,Food and non-alcoholic beverages,Sydney
2012-12-01,A2325851W,100.9,Food and non-alcoholic beverages,Sydney
2013-03-01,A2325851W,99.9,Food and non-alcoholic beverages,Sydney
2013-06-01,A2325851W,100.1,Food and non-alcoholic beverages,Sydney
2013-09-01,A2325851W,100.3,Food and non-alcoholic beverages,Sydney
2013-12-01,A2325851W,101.8,Food and non-alcoholic beverages,Sydney
2014-03-01,A2325851W,102.5,Food and non-alcoholic beverages,Sydney
2014-06-01,A2325851W,102.4,Food and non-alcoholic beverages,Sydney
2014-09-01,A2325851W,104.0,Food and non-alcoholic beverages,Sydney
2014-12-01,A2325851W,104.2,Food and non-alcoholic beverages,Sydney
2015-03-01,A2325851W,104.8,Food and non-alcoholic beverages,Sydney
2015-06-01,A2325851W,104.7,Food and non-alcoholic beverages,Sydney
2015-09-01,A2325851W,104.5,Food and non-alcoholic beverages,Sydney
2015-12-01,A2325851W,104.9,Food and non-alcoholic beverages,Sydney
2016-03-01,A2325851W,104.7,Food and non-alcoholic beverages,Sydney
2016-06-01,A2325851W,104.4,Food and non-alcoholic beverages,Sydney
2016-09-01,A2325851W,106.9,Food and non-alcoholic beverages,Sydney
2016-12-01,A2325851W,107.5,Food and non-alcoholic beverages,Sydney
2017-03-01,A2325851W,107.5,Food and non-alcoholic beverages,Sydney
2017-06-01,A2325851W,107.3,Food and non-alcoholic beverages,Sydney
2017-09-01,A2325851W,106.4,Food and non-alcoholic beverages,Sydney
2017-12-01,A2325851W,107.6,Food and non-alcoholic beverages,Sydney
2018-03-01,A2325851W,108.1,Food and non-alcoholic beverages,Sydney
2018-06-01,A2325851W,107.6,Food and non-alcoholic beverages,Sydney
2018-09-01,A2325851W,108.1,Food and non-alcoholic beverages,Sydney
2018-12-01,A2325851W,108.9,Food and non-alcoholic beverages,Sydney
2019-03-01,A2325851W,110.4,Food and non-alcoholic beverages,Sydney
2019-06-01,A2325851W,109.9,Food and non-alcoholic beverages,Sydney
2019-09-01,A2325851W,110.1,Food and non-alcoholic beverages,Sydney
2019-12-01,A2325851W,111.7,Food and non-alcoholic beverages,Sydney
2020-03-01,A2325851W,113.7,Food and non-alcoholic beverages,Sydney
2020-06-01,A2325851W,114.3,Food and non-alcoholic beverages,Sydney
2020-09-01,A2325851W,114.1,Food and non-alcoholic beverages,Sydney
2020-12-01,A2325851W,114.1,Food and non-alcoholic beverages,Sydney
2021-03-01,A2325851W,114.4,Food and non-alcoholic beverages,Sydney
2021-06-01,A2325851W,114.3,Food and non-alcoholic beverages,Sydney
2021-09-01,A2325851W,115.1,Food and non-alcoholic beverages,Sydney
2021-12-01,A2325851W,115.8,Food and non-alcoholic beverages,Sydney
2022-03-01,A2325851W,118.7,Food and non-alcoholic beverages,Sydney
2022-06-01,A2325851W,121.2,Food and non-alcoholic beverages,Sydney
2022-09-01,A2325851W,125.2,Food and non-alcoholic beverages,Sydney
2022-12-01,A2325851W,126.2,Food and non-alcoholic beverages,Sydney
2023-03-01,A2325851W,128.2,Food and non-alcoholic beverages,Sydney
2023-06-01,A2325851W,130.6,Food and non-alcoholic beverages,Sydney
2023-09-01,A2325851W,131.7,Food and non-alcoholic beverages,Sydney
2011-06-01,A2326166T,101.9,Bread and cereal products,Sydney
2011-09-01,A2326166T,100.4,Bread and cereal products,Sydney
2011-12-01,A2326166T,101.3,Bread and cereal products,Sydney
2012-03-01,A2326166T,101.3,Bread and cereal products,Sydney
2012-06-01,A2326166T,97.0,Bread and cereal products,Sydney
2012-09-01,A2326166T,100.3,Bread and cereal products,Sydney
2012-12-01,A2326166T,101.3,Bread and cereal products,Sydney
2013-03-01,A2326166T,101.3,Bread and cereal products,Sydney
2013-06-01,A2326166T,101.1,Bread and cereal products,Sydney
2013-09-01,A2326166T,102.3,Bread and cereal products,Sydney
2013-12-01,A2326166T,103.2,Bread and cereal products,Sydney
2014-03-01,A2326166T,102.2,Bread and cereal products,Sydney
2014-06-01,A2326166T,101.1,Bread and cereal products,Sydney
2014-09-01,A2326166T,100.0,Bread and cereal products,Sydney
2014-12-01,A2326166T,100.5,Bread and cereal products,Sydney
2015-03-01,A2326166T,100.1,Bread and cereal products,Sydney
2015-06-01,A2326166T,99.8,Bread and cereal products,Sydney
2015-09-01,A2326166T,99.1,Bread and cereal products,Sydney
2015-12-01,A2326166T,99.0,Bread and cereal products,Sydney
2016-03-01,A2326166T,98.6,Bread and cereal products,Sydney
2016-06-01,A2326166T,98.0,Bread and cereal products,Sydney
2016-09-01,A2326166T,98.8,Bread and cereal products,Sydney
2016-12-01,A2326166T,98.7,Bread and cereal products,Sydney
2017-03-01,A2326166T,98.3,Bread and cereal products,Sydney
2017-06-01,A2326166T,97.6,Bread and cereal products,Sydney
2017-09-01,A2326166T,96.7,Bread and cereal products,Sydney
2017-12-01,A2326166T,97.5,Bread and cereal products,Sydney
2018-03-01,A2326166T,96.8,Bread and cereal products,Sydney
2018-06-01,A2326166T,96.6,Bread and cereal products,Sydney
2018-09-01,A2326166T,96.9,Bread and cereal products,Sydney
2018-12-01,A2326166T,98.0,Bread and cereal products,Sydney
2019-03-01,A2326166T,98.9,Bread and cereal products,Sydney
2019-06-01,A2326166T,99.1,Bread and cereal products,Sydney
2019-09-01,A2326166T,100.3,Bread and cereal products,Sydney
2019-12-01,A2326166T,101.4,Bread and cereal products,Sydney
2020-03-01,A2326166T,102.7,Bread and cereal products,Sydney
2020-06-01,A2326166T,103.6,Bread and cereal products,Sydney
2020-09-01,A2326166T,101.5,Bread and cereal products,Sydney
2020-12-01,A2326166T,102.4,Bread and cereal products,Sydney
2021-03-01,A2326166T,102.3,Bread and cereal products,Sydney
2021-06-01,A2326166T,102.2,Bread and cereal products,Sydney
2021-09-01,A2326166T,102.2,Bread and cereal products,Sydney
2021-12-01,A2326166T,103.5,Bread and cereal products,Sydney
2022-03-01,A2326166T,105.1,Bread and cereal products,Sydney
2022-06-01,A2326166T,108.6,Bread and cereal products,Sydney
2022-09-01,A2326166T,112.5,Bread and cereal products,Sydney
2022-12-01,A2326166T,116.3,Bread and cereal products,Sydney
2023-03-01,A2326166T,118.0,Bread and cereal products,Sydney
2023-06-01,A2326166T,121.5,Bread and cereal products,Sydney
