Date,Series ID,CPI Value,Item,Location
2017-09-01,A128478317T,100.0,All groups CPI,Australia
2017-10-01,A128478317T,100.2,All groups CPI,Australia
2017-11-01,A128478317T,100.5,All groups CPI,Australia
2017-12-01,A128478317T,101.2,All groups CPI,Australia
2018-01-01,A128478317T,101.0,All groups CPI,Australia
2018-02-01,A128478317T,100.7,All groups CPI,Australia
2018-03-01,A128478317T,101.0,All groups CPI,Australia
2018-04-01,A128478317T,101.6,All groups CPI,Australia
2018-05-01,A128478317T,101.5,All groups CPI,Australia
2018-06-01,A128478317T,101.5,All groups CPI,Australia
2018-07-01,A128478317T,102.1,All groups CPI,Australia
2018-08-01,A128478317T,101.7,All groups CPI,Australia
2018-09-01,A128478317T,102.0,All groups CPI,Australia
2018-10-01,A128478317T,102.5,All groups CPI,Australia
2018-11-01,A128478317T,102.1,All groups CPI,Australia
2018-12-01,A128478317T,102.7,All groups CPI,Australia
2019-01-01,A128478317T,102.2,All groups CPI,Australia
2019-02-01,A128478317T,102.2,All groups CPI,Australia
2019-03-01,A128478317T,102.6,All groups CPI,Australia
2019-04-01,A128478317T,103.4,All groups CPI,Australia
2019-05-01,A128478317T,103.0,All groups CPI,Australia
2019-06-01,A128478317T,102.9,All groups CPI,Australia
2019-07-01,A128478317T,103.7,All groups CPI,Australia
2019-08-01,A128478317T,103.3,All groups CPI,Australia
2019-09-01,A128478317T,103.7,All groups CPI,Australia
2019-10-01,A128478317T,104.3,All groups CPI,Australia
2019-11-01,A128478317T,103.9,All groups CPI,Australia
2019-12-01,A128478317T,105.0,All groups CPI,Australia
2020-01-01,A128478317T,105.0,All groups CPI,Australia
2020-02-01,A128478317T,104.2,All groups CPI,Australia
2020-03-01,A128478317T,104.8,All groups CPI,Australia
2020-04-01,A128478317T,103.5,All groups CPI,Australia
2020-05-01,A128478317T,102.8,All groups CPI,Australia
2020-06-01,A128478317T,102.8,All groups CPI,Australia
2020-07-01,A128478317T,104.5,All groups CPI,Australia
2020-08-01,A128478317T,104.4,All groups CPI,Australia
2020-09-01,A128478317T,104.1,All groups CPI,Australia
2020-10-01,A128478317T,104.8,All groups CPI,Australia
2020-11-01,A128478317T,105.0,All groups CPI,Australia
2020-12-01,A128478317T,105.3,All groups CPI,Australia
2021-01-01,A128478317T,105.4,All groups CPI,Australia
2021-02-01,A128478317T,105.3,All groups CPI,Australia
2021-03-01,A128478317T,105.6,All groups CPI,Australia
2021-04-01,A128478317T,106.1,All groups CPI,Australia
2021-05-01,A128478317T,106.2,All groups CPI,Australia
2021-06-01,A128478317T,106.4,All groups CPI,Australia
2021-07-01,A128478317T,106.7,All groups CPI,Australia
2021-08-01,A128478317T,107.0,All groups CPI,Australia
2021-09-01,A128478317T,107.3,All groups CPI,Australia
2021-10-01,A128478317T,107.9,All groups CPI,Australia
2021-11-01,A128478317T,108.4,All groups CPI,Australia
2021-12-01,A128478317T,109.0,All groups CPI,Australia
2022-01-01,A128478317T,109.6,All groups CPI,Australia
2022-02-01,A128478317T,110.5,All groups CPI,Australia
2022-03-01,A128478317T,111.6,All groups CPI,Australia
2022-04-01,A128478317T,111.9,All groups CPI,Australia
2022-05-01,A128478317T,112.7,All groups CPI,Australia
2022-06-01,A128478317T,113.6,All groups CPI,Australia
2022-07-01,A128478317T,114.4,All groups CPI,Australia
2022-08-01,A128478317T,114.7,All groups CPI,Australia
2022-09-01,A128478317T,115.0,All groups CPI,Australia
2022-10-01,A128478317T,115.4,All groups CPI,Australia
2022-11-01,A128478317T,116.4,All groups CPI,Australia
2022-12-01,A128478317T,118.2,All groups CPI,Australia
2023-01-01,A128478317T,117.8,All groups CPI,Australia
2023-02-01,A128478317T,118.0,All groups CPI,Australia
2023-03-01,A128478317T,118.6,All groups CPI,Australia
2023-04-01,A128478317T,119.4,All groups CPI,Australia
2023-05-01,A128478317T,118.9,All groups CPI,Australia
2023-06-01,A128478317T,119.7,All groups CPI,Australia
2023-07-01,A128478317T,120.0,All groups CPI,Australia
2023-08-01,A128478317T,120.7,All groups CPI,Australia
2023-09-01,A128478317T,121.4,All groups CPI,Australia
2023-10-01,A128478317T,121.0,All groups CPI,Australia
2023-11-01,A128478317T,121.4,All groups CPI,Australia
2017-09-01,A128480733V,100.0,Food and non-alcoholic beverages,Australia
2017-10-01,A128480733V,101.2,Food and non-alcoholic beverages,Australia
2017-11-01,A128480733V,102.2,Food and non-alcoholic beverages,Australia
2017-12-01,A128480733V,102.5,Food and non-alcoholic beverages,Australia
2018-01-01,A128480733V,102.6,Food and non-alcoholic beverages,Australia
2018-02-01,A128480733V,102.6,Food and non-alcoholic beverages,Australia
2018-03-01,A128480733V,102.3,Food and non-alcoholic beverages,Australia
2018-04-01,A128480733V,102.0,Food and non-alcoholic beverages,Australia
2018-05-01,A128480733V,101.8,Food and non-alcoholic beverages,Australia
2018-06-01,A128480733V,102.2,Food and non-alcoholic beverages,Australia
2018-07-01,A128480733V,102.4,Food and non-alcoholic beverages,Australia
2018-08-01,A128480733V,102.7,Food and non-alcoholic beverages,Australia
2018-09-01,A128480733V,102.4,Food and non-alcoholic beverages,Australia
2018-10-01,A128480733V,103.1,Food and non-alcoholic beverages,Australia
2018-11-01,A128480733V,103.3,Food and non-alcoholic beverages,Australia
2018-12-01,A128480733V,103.7,Food and non-alcoholic beverages,Australia
2019-01-01,A128480733V,104.0,Food and non-alcoholic beverages,Australia
2019-02-01,A128480733V,105.4,Food and non-alcoholic beverages,Australia
2019-03-01,A128480733V,105.7,Food and non-alcoholic beverages,Australia
2019-04-01,A128480733V,104.6,Food and non-alcoholic beverages,Australia
2019-05-01,A128480733V,104.6,Food and non-alcoholic beverages,Australia
2019-06-01,A128480733V,104.4,Food and non-alcoholic beverages,Australia
2019-07-01,A128480733V,104.6,Food and non-alcoholic beverages,Australia
2019-08-01,A128480733V,105.1,Food and non-alcoholic beverages,Australia
2019-09-01,A128480733V,104.8,Food and non-alcoholic beverages,Australia
2019-10-01,A128480733V,105.4,Food and non-alcoholic beverages,Australia
2019-11-01,A128480733V,106.2,Food and non-alcoholic beverages,Australia
2019-12-01,A128480733V,107.2,Food and non-alcoholic beverages,Australia
2020-01-01,A128480733V,107.4,Food and non-alcoholic beverages,Australia
2020-02-01,A128480733V,107.9,Food and non-alcoholic beverages,Australia
2020-03-01,A128480733V,110.2,Food and non-alcoholic beverages,Australia
2020-04-01,A128480733V,110.1,Food and non-alcoholic beverages,Australia
2020-05-01,A128480733V,109.0,Food and non-alcoholic beverages,Australia
2020-06-01,A128480733V,109.3,Food and non-alcoholic beverages,Australia
2020-07-01,A128480733V,109.0,Food and non-alcoholic beverages,Australia
2020-08-01,A128480733V,109.2,Food and non-alcoholic beverages,Australia
2020-09-01,A128480733V,108.4,Food and non-alcoholic beverages,Australia
2020-10-01,A128480733V,108.4,Food and non-alcoholic beverages,Australia
