series_id,item_code,item_name,period,value
CUUR0000SA0,SA0,All items,2020-01,257.971
CUUR0000SA0,SA0,All items,2020-02,258.678
CUUR0000SA0,SA0,All items,2020-03,258.115
CUUR0000SA0,SA0,All items,2020-04,256.389
CUUR0000SA0,SA0,All items,2020-05,256.394
CUUR0000SA0,SA0,All items,2020-06,257.797
CUUR0000SA0,SA0,All items,2020-07,259.101
CUUR0000SA0,SA0,All items,2020-08,259.918
CUUR0000SA0,SA0,All items,2020-09,260.28
CUUR0000SA0,SA0,All items,2020-10,260.388
CUUR0000SA0,SA0,All items,2020-11,260.229
CUUR0000SA0,SA0,All items,2020-12,260.474
CUUR0000SA0,SA0,All items,2021-01,261.582
CUUR0000SA0,SA0,All items,2021-02,263.014
CUUR0000SA0,SA0,All items,2021-03,264.877
CUUR0000SA0,SA0,All items,2021-04,267.054
CUUR0000SA0,SA0,All items,2021-05,269.195
CUUR0000SA0,SA0,All items,2021-06,271.696
CUUR0000SA0,SA0,All items,2021-07,273.003
CUUR0000SA0,SA0,All items,2021-08,273.567
CUUR0000SA0,SA0,All items,2021-09,274.31
CUUR0000SA0,SA0,All items,2021-10,276.589
CUUR0000SA0,SA0,All items,2021-11,277.948
CUUR0000SA0,SA0,All items,2021-12,278.802
CUUR0000SA0,SA0,All items,2022-01,281.148
CUUR0000SA0,SA0,All items,2022-02,283.716
CUUR0000SA0,SA0,All items,2022-03,287.504
CUUR0000SA0,SA0,All items,2022-04,289.109
CUUR0000SA0,SA0,All items,2022-05,292.296
CUUR0000SA0,SA0,All items,2022-06,296.311
CUUR0000SA0,SA0,All items,2022-07,296.276
CUUR0000SA0,SA0,All items,2022-08,296.171
CUUR0000SA0,SA0,All items,2022-09,296.808
CUUR0000SA0,SA0,All items,2022-10,298.012
CUUR0000SA0,SA0,All items,2022-11,297.711
CUUR0000SA0,SA0,All items,2022-12,296.797
CUUR0000SA0,SA0,All items,2023-01,299.17
CUUR0000SA0,SA0,All items,2023-02,300.84
CUUR0000SA0,SA0,All items,2023-03,301.836
CUUR0000SA0,SA0,All items,2023-04,303.363
CUUR0000SA0,SA0,All items,2023-05,304.127
CUUR0000SA0,SA0,All items,2023-06,305.109
CUUR0000SA0,SA0,All items,2023-07,305.691
CUUR0000SA0,SA0,All items,2023-08,307.026
CUUR0000SA0,SA0,All items,2023-09,307.789
CUUR0000SA0,SA0,All items,2023-10,307.671
CUUR0000SA0,SA0,All items,2023-11,307.051
CUUR0000SA0,SA0,All items,2023-12,306.746
CUUR0000SA0,SA0,All items,2024-01,308.417
CUUR0000SA0,SA0,All items,2024-02,310.326
CUUR0000SA0,SA0,All items,2024-03,312.332
CUUR0000SA0,SA0,All items,2024-04,313.548
CUUR0000SA0,SA0,All items,2024-05,314.069
CUUR0000SA0,SA0,All items,2024-06,314.175
CUUR0000SA0,SA0,All items,2024-07,314.54
CUUR0000SA0,SA0,All items,2024-08,314.796
CUUR0000SA0,SA0,All items,2024-09,315.301
CUUR0000SA0,SA0,All items,2024-10,315.664
CUUR0000SA0,SA0,All items,2024-11,315.493
CUUR0000SA0,SA0,All items,2024-12,315.605
CUUR0000SA0,SA0,All items,2025-01,317.671
CUUR0000SA0,SA0,All items,2025-02,319.082
CUUR0000SA0,SA0,All items,2025-03,319.799
CUUR0000SA0,SA0,All items,2025-04,320.795
CUUR0000SA0,SA0,All items,2025-05,321.465
CUUR0000SA0,SA0,All items,2025-06,322.561
CUUR0000SA0,SA0,All items,2025-07,323.048
CUUR0000SA0,SA0,All items,2025-08,323.976
CUUR0000SA0,SA0,All items,2025-09,324.8
CUUR0000SA0,SA0,All items,2025-11,324.122
CUUR0000SA0,SA0,All items,2025-12,324.054
CUUR0000SA0,SA0,All items,2026-01,325.252
CUUR0000SA0,SA0,All items,2026-02,326.785
CUUR0000SA0,SA0,All items,2026-03,330.213
CUUR0000SA0,SA0,All items,2026-04,333.02
CUUR0000SA0,SA0,All items,2026-05,335.123
CUUR0000SA0,SA0,All items,2026-06,333.952
CUUR0000SA0,SA0,All items,2026-07,333.918
CUUR0000SA0E,SA0E,Energy,2020-01,213.043
CUUR0000SA0E,SA0E,Energy,2020-02,208.354
CUUR0000SA0E,SA0E,Energy,2020-03,199.573
CUUR0000SA0E,SA0E,Energy,2020-04,183.081
CUUR0000SA0E,SA0E,Energy,2020-05,183.076
CUUR0000SA0E,SA0E,Energy,2020-06,193.379
CUUR0000SA0E,SA0E,Energy,2020-07,197.665
CUUR0000SA0E,SA0E,Energy,2020-08,197.362
