country_code,country_name,frequency,methodology,measure,unit_measure,expenditure,adjustment,transform,period,value,base_period,series_key
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-01,6.955582,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-02,6.290439,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-03,6.384125,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-04,6.789403,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-05,7.14606,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-06,7.25828,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-07,7.262273,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-08,7.175559,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-09,6.831153,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-10,6.248908,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-11,4.890649,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2015-12,3.352941,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-01,4.13613,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-02,4.421711,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-03,4.448008,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-04,3.599361,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-05,3.330544,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-06,3.454303,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-07,3.207983,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-08,2.793067,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-09,3.073888,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-10,3.306737,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-11,3.579051,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2016-12,3.024636,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-01,3.49458,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-02,3.829649,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-03,3.612121,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-04,4.172417,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-05,4.332685,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-06,4.368815,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-07,3.87535,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-08,3.820027,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-09,3.723786,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-10,3.583088,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-11,3.304803,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2017-12,3.606661,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-01,3.251524,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-02,3.181535,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-03,3.400406,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-04,3.413076,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-05,3.229062,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-06,3.122109,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-07,3.184615,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-08,3.202217,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-09,2.882841,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-10,3.159351,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-11,3.229766,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2018-12,3.130713,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-01,2.823618,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-02,2.569528,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-03,2.481521,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-04,2.833246,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-05,3.316039,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-06,3.281752,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-07,3.31743,,IDN.M.N.CPI.PA._T.N.GY
IDN,Indonesia,M,N,CPI,PA,_T,N,GY,2019-08,3.490714,,IDN.M.N.CPI.PA._T.N.GY
